Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
New Brunswick carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178399,0.00018616,0.000184727,0.000181258,0,0
Newfoundland and Labrador carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100822,8.38E-05,7.56E-05,7.51E-05,7.37E-05,0,0
Northwest Territories carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07E-05,1.85E-05,1.92E-05,1.90E-05,1.87E-05,1.87E-05,0
Prince Edward Island carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53E-05,1.59E-05,1.52E-05,1.51E-05,1.48E-05,0,0
Switzerland carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000437739,0.000427366,0.000420214,0.000378321,0.000383419,0.000386198,0.00035738,0.000353649,0.000355361,0.000343076,0.000326478,0.000323551,0.000319168,0.000317171,0.000293387,0.00028711,0.00028711,0.00028711
Chile carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001362079,0.00135031,0.001410747,0.001383603,0.001336281,0.001327019,0.001261345,0.001261345,0.001261345
Taiwan carbon fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004647499,0.003137062
Colombia carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744516,0.000759176,0.000774572,0.000796726,0.000806991,0.000820133,0.000845746,0.000845746,0.000845746
Denmark carbon tax,0,0,0.00108293,0.001119349,0.001162,0.001091306,0.001258071,0.001107279,0.001049211,0.001001275,0.000923118,0.000937633,0.0009157,0.000948918,0.000837789,0.000721947,0.000778925,0.000709841,0.000667427,0.000650377,0.000622535,0.000553847,0.000500638,0.000513046,0.000471226,0.000454402,0.000470056,0.000442559,0.0004347,0.00040338,0.000398418,0.000393213,0.000375296,0.000356368,0.000356368,0.000347522
Estonia carbon tax,0,0,0,0,0,0,0,0,0,0,5.72E-05,5.75E-05,5.44E-05,5.78E-05,5.67E-05,4.91E-05,4.57E-05,5.22E-05,4.80E-05,4.15E-05,4.93E-05,4.82E-05,4.57E-05,4.93E-05,4.74E-05,4.41E-05,4.36E-05,4.54E-05,4.67E-05,3.30E-05,2.65E-05,2.67E-05,2.70E-05,2.44E-05,2.44E-05,2.44E-05
