Unique ID,Name of the initiative,Instrument Type,Region,Income group,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Tax_LI,Liechtenstein carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,11.91895113,21.03786816,34.21077639,39.01593151,39.86269516,37.81115429,40.76548522,37.17472119,87.58210823,83.91608392,100.3344482,96.46302251,99.44064636,101.4745521,129.8560762,130.8115768,132.122213,136.0389978
Tax_LU,Luxembourg carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.124336,43.345944,45.00075,49.907607,58.546476
Tax_CA_Manitoba,Manitoba carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS_US_MA,Massachusetts ETS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.198567,6.5,0.5,12.05,2.25,9.3
Tax_MX,Mexico carbon tax,Carbon tax,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,3.115361951,2.777923866,2.645352818,2.902568513,2.888936128,2.334344628,2.890222937,3.196554986,3.789652385,4.305144789,3.942786131
ETS_MX,Mexico ETS,ETS,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ETS_MO,Montenegro ETS,ETS,Europe & Central Asia,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7976,25.8912
Tax_NL,Netherlands carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.238,46.1421,60.83475,71.48085,94.82652
Tax_CA_NB,New Brunswick carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10149821,31.8344608,39.96163683,48.03073967,,
ETS_CA_NB,New Brunswick OBPS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.96163683,48.03073967,58.94488653,66.21131865
ETS_NZ,New Zealand ETS,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,0,0,12.43725,15.37018,5.7211,1.6738,2.68894,4.93152,0,12.51389,15.090285,17.53254,14.304,25.75989,52.6224,34.19875,35.105,32.007124
Tax_CA_NL,Newfoundland and Labrador carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99587613,14.06766547,23.8758456,39.96163683,48.03073967,,
ETS_CA_NL,Newfoundland and Labrador PSS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8758456,39.96163683,48.03073967,58.94488653,66.21131865
Tax_CA_NT,Northwest Territories carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06766547,23.8758456,31.96930946,48.03073967,58.94488653,
Tax_NO,Norway carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,99.30826656,115.8107562,112.632234,109.5952706,94.70168315,93.79296167,85.39033896,58.97506166,61.07510311,74.20946308,79.23584659,86.97302255,82.79529054,89.89058937,104.9568338,80.95174203,90.59606191,99.27895938,96.60478106,94.58253227,92.52585528,68.31598619,65.87870568,66.81670301,79.9763414,72.16302548,63.27639752,80.35284871,96.30561592,94.49089451,107.7835515,133.9204865
ETS_CA_NS,Nova Scotia OBPS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.65777955,23.09782609,20.8748984,58.94488653,66.21131865
ETS_CA_Ontario,Ontario CaT,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06461307,11.71087327,,,,,,,
ETS_CA_Ontario2,Ontario EPS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.96930946,48.03073967,58.94488653,66.21131865
